h3_cell,time_bin,crash_count,center_lat,center_lon,gi_star,gi_p_value,hotspot_type
892a1000067ffff,Week_2_06-27,1,40.850320622432335,-73.78807862687371,-0.5491900194846029,0.05,Normal
892a100007bffff,Week_2_06-27,1,40.855501095503286,-73.79254914485429,-0.5491900194846029,0.05,Normal
892a100024fffff,Week_2_06-27,4,40.85732809569635,-73.82478378653533,2.7932940646199627,0.05,Hot Spot
892a1000257ffff,Week_2_06-27,1,40.86013691691012,-73.81844974937725,-0.5491900194846029,0.05,Normal
892a1000627ffff,Week_2_06-27,1,40.86607973077515,-73.7929205689231,-0.5491900194846029,0.05,Normal
892a1000ad3ffff,Week_2_06-27,1,40.81309205573055,-73.79534660718443,-0.5491900194846029,0.05,Normal
892a1000b23ffff,Week_2_06-27,1,40.77653010500693,-73.77693444329431,-0.5491900194846029,0.05,Normal
892a1000b2fffff,Week_2_06-27,1,40.77383432580389,-73.77898159097847,-0.5491900194846029,0.05,Normal
892a1000b33ffff,Week_2_06-27,1,40.77922593428582,-73.77488706395235,-0.5491900194846029,0.05,Normal
892a1000b5bffff,Week_2_06-27,1,40.78936204220979,-73.79237119412758,-0.5491900194846029,0.05,Normal
892a1000bafffff,Week_2_06-27,1,40.77933363938856,-73.77060869353832,-0.5491900194846029,0.05,Normal
892a1000bc7ffff,Week_2_06-27,1,40.78968660941945,-73.77953323203496,-0.5491900194846029,0.05,Normal
892a1000bcfffff,Week_2_06-27,1,40.789578578670884,-73.78381255730925,-0.5491900194846029,0.05,Normal
892a1001007ffff,Week_2_06-27,1,40.872425791155095,-73.85536084328379,-0.5491900194846029,0.05,Normal
892a100100bffff,Week_2_06-27,1,40.87490461989031,-73.8618880749277,-0.5491900194846029,0.05,Normal
892a1001027ffff,Week_2_06-27,1,40.864546347597944,-73.85292852316428,-0.5491900194846029,0.05,Normal
892a1001033ffff,Week_2_06-27,2,40.86983611859919,-73.85312106882164,0.5649713418835856,0.05,Normal
892a1001043ffff,Week_2_06-27,2,40.877383170059645,-73.86841603086661,0.5649713418835856,0.05,Normal
892a100104bffff,Week_2_06-27,1,40.8772718813882,-73.87270346482643,-0.5491900194846029,0.05,Normal
892a1001057ffff,Week_2_06-27,2,40.877494299744725,-73.86412859138112,0.5649713418835856,0.05,Normal
892a100105bffff,Week_2_06-27,1,40.879972812397604,-73.87065703795672,-0.5491900194846029,0.05,Normal
892a100106fffff,Week_2_06-27,2,40.86680296838552,-73.86802746668656,0.5649713418835856,0.05,Normal
892a1001087ffff,Week_2_06-27,1,40.877937228603706,-73.84697877914236,-0.5491900194846029,0.05,Normal
892a1001097ffff,Week_2_06-27,1,40.88063769849271,-73.8449308844887,-0.5491900194846029,0.05,Normal
892a10010a3ffff,Week_2_06-27,1,40.87264692716563,-73.84678689393488,-0.5491900194846029,0.05,Normal
892a10010a7ffff,Week_2_06-27,1,40.87005709046025,-73.8445475978412,-0.5491900194846029,0.05,Normal
892a10010bbffff,Week_2_06-27,1,40.87523680864398,-73.84902644139284,-0.5491900194846029,0.05,Normal
892a10010cfffff,Week_2_06-27,1,40.880195077129294,-73.86208167516082,-0.5491900194846029,0.05,Normal
892a100114fffff,Week_2_06-27,1,40.856557008784506,-73.85478254615731,-0.5491900194846029,0.05,Normal
892a1001167ffff,Week_2_06-27,1,40.848789670250234,-73.84806634775174,-0.5491900194846029,0.05,Normal
892a1001183ffff,Week_2_06-27,1,40.86239785072475,-73.83354519157832,-0.5491900194846029,0.05,Normal
892a1001187ffff,Week_2_06-27,1,40.85980811137005,-73.83130713975525,-0.5491900194846029,0.05,Normal
892a100118bffff,Week_2_06-27,1,40.86228784920546,-73.83783121739094,-0.5491900194846029,0.05,Normal
892a100119bffff,Week_2_06-27,2,40.86498763496199,-73.83578349461017,0.5649713418835856,0.05,Normal
892a10011a7ffff,Week_2_06-27,1,40.85192948904387,-73.82887956040521,-0.5491900194846029,0.05,Normal
892a10011b7ffff,Week_2_06-27,1,40.8546287673977,-73.8268317895936,-0.5491900194846029,0.05,Normal
892a10011c7ffff,Week_2_06-27,2,40.86217768881401,-73.84211723802385,0.5649713418835856,0.05,Normal
892a1001203ffff,Week_2_06-27,2,40.87423595028035,-73.8876111934982,0.5649713418835856,0.05,Normal
892a1001207ffff,Week_2_06-27,2,40.871646808273695,-73.88536949406934,0.5649713418835856,0.05,Normal
892a100120fffff,Week_2_06-27,1,40.87153488922693,-73.88965642170862,-0.5491900194846029,0.05,Normal
892a1001217ffff,Week_2_06-27,1,40.874347792626345,-73.8833240211397,-0.5491900194846029,0.05,Normal
892a100122bffff,Week_2_06-27,1,40.86624498998695,-73.88945974336684,-0.5491900194846029,0.05,Normal
892a100122fffff,Week_2_06-27,1,40.86365614624436,-73.88721832043876,-0.5491900194846029,0.05,Normal
892a100123bffff,Week_2_06-27,1,40.86894587405334,-73.88741473480027,-0.5491900194846029,0.05,Normal
892a100124bffff,Week_2_06-27,1,40.876488409144244,-73.90271534379387,-0.5491900194846029,0.05,Normal
892a100125bffff,Week_2_06-27,2,40.87918987719484,-73.90067063035264,0.5649713418835856,0.05,Normal
