H3_Cell_ID,Centroid_Lat,Centroid_Lon,Time_Period,Alarm_Type,Crash_Count,Gi_Star_Score,Priority,Recommended_Action,Hot_Period_Count
892a100104bffff,40.8772718813882,-73.87270346482643,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
892a100105bffff,40.879972812397604,-73.87065703795672,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
892a10010dbffff,40.88548588268196,-73.8622753191058,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
892a100124bffff,40.876488409144244,-73.90271534379387,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,3
892a100140bffff,40.8938102227697,-73.84755469475894,Week_5_08-08,New Hotspot,2,2.315,High,Investigate recent spike in crashes and identify contributing factors,1
892a1001473ffff,40.89110927260772,-73.84960301789768,Week_5_08-08,New Hotspot,2,2.315,High,Investigate recent spike in crashes and identify contributing factors,1
892a10014afffff,40.88884943443858,-73.83449736105979,Week_5_08-08,New Hotspot,2,2.315,High,Investigate recent spike in crashes and identify contributing factors,1
892a1001acfffff,40.82427347620428,-73.87504015946894,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,2
892a1001e77ffff,40.832593507983056,-73.86034084491413,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,2
892a1005047ffff,40.747958443983634,-73.75668558790582,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,4
892a1005207ffff,40.744833912609394,-73.77583359892071,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,2
892a1005433ffff,40.761857192259804,-73.72934009195119,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
892a1005567ffff,40.740835017629735,-73.72435289662967,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
892a1005c4fffff,40.71163383284694,-73.72978528655779,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,4
892a10088afffff,40.792767900423,-73.9659864682128,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,3
892a1008c37ffff,40.808968075449066,-73.95375780980022,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,3
892a1008c83ffff,40.82224127975792,-73.95212588222418,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
892a1008c8bffff,40.822126873516225,-73.95640836369351,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
892a1008cb7ffff,40.814482699048455,-73.94539797282188,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,3
892a1008d3bffff,40.79334015739645,-73.94458734180492,Week_5_08-08,Persistent Hotspot,1,-0.375,High,Coordinate with city traffic department for long-term safety improvements,2
892a1008d4bffff,40.80086775936645,-73.95987317950902,Week_5_08-08,Intensifying Hotspot,2,2.315,High,Deploy additional safety patrols and consider traffic interventions,1
